> deslop merged lexicon — one candidate per row. The scanner reports hits; it never rewrites.
> Columns: lang  pattern  category  replacement  note  source
> lang: en | zh   ·   pattern: Python regex (ASCII patterns get \b…\b added automatically)
> category: vocab puffery editorial transition template shape jargon hedge assistant physical
>           borrowed unsettled-term stance opener closer empathy debug violence
> note: when the word is legitimate. A blank note does NOT mean "always wrong" — see SKILL.md.
> source: deslop | shuorenhua | humanizer-zh | natural-talk (first table it entered from)
> Upstream sources of the words themselves: WP:AIVOCAB · Wikipedia:Signs of AI writing ·
> Kobak et al. 2025 (Science Advances 11(27)) · Juzek & Ward 2025 · HN 48905248 ·
> awesome-ai-research-writing · Chinese community lists (Linux.do / X / 即刻).
lang	pattern	category	replacement	note	source
zh	研究表明.{0,12}	editorial	给出具体研究名称或删掉		shuorenhua:Tier 1
zh	数据显示.{0,12}	editorial	给出具体数据来源或直接给数据		shuorenhua:Tier 1
zh	业内人士认为.{0,12}	editorial	说清楚谁		shuorenhua:Tier 1
zh	据报道.{0,12}	editorial	给出具体媒体和时间		shuorenhua:Tier 1
zh	好问题！	assistant	删掉		shuorenhua:Tier 1
zh	这是一个很好的观点	assistant	删掉		shuorenhua:Tier 1
zh	好，/\ 行，	assistant	删掉，直接响应	作为回复开场	shuorenhua:Tier 1
zh	结论先说清楚	assistant	删掉，直接给结论		shuorenhua:Tier 1
zh	简单的说	assistant	删掉		shuorenhua:Tier 1
zh	不是.{0,12}而是.{0,12}	assistant	看是否必要，多数可删掉前半句		shuorenhua:Tier 1
zh	我先.{0,12}再.{0,12}	assistant	删掉，直接说要做什么		shuorenhua:Tier 1
zh	我已确认	assistant	删掉（无需宣告）		shuorenhua:Tier 1
zh	我立马开始	assistant	删掉，直接做		shuorenhua:Tier 1
zh	要不要我.{0,12}	assistant	删掉，等用户提需求		shuorenhua:Tier 1
zh	顺手	assistant	删掉（暗示举手之劳来推销额外操作）		shuorenhua:Tier 1
zh	我先.{0,12}	assistant	删掉，直接做		shuorenhua:Tier 1
zh	我就在这里	empathy	多数删掉，直接回应		shuorenhua:Tier 1
zh	不用向我解释	empathy	删掉，除非上下文确实在安抚对方		shuorenhua:Tier 1
zh	这次我懂了，我真的懂了	empathy	删掉，别演“终于完全理解你”		shuorenhua:Tier 1
zh	(?:宾语是\ `流量|请求|峰值)	empathy	(cut)		shuorenhua:Tier 1
zh	我必须很认真地说一句	stance	删掉，直接说		shuorenhua:Tier 1
zh	我要讲一个更深一点的东西	stance	删掉，直接说		shuorenhua:Tier 1
zh	(?:绝对是顶刊作者的素养|顶级研究者才具备的批判性思维)	stance	删掉身份认证式夸奖，改成对内容的具体评价		shuorenhua:Tier 1
zh	不仅.{0,12}而且.{0,12}	transition	(cut)		shuorenhua:Tier 2
zh	一方面.{0,12}另一方面.{0,12}	transition	(cut)		shuorenhua:Tier 2
zh	尽管如此	transition	(cut)		shuorenhua:Tier 2
zh	实际上	transition	(cut)		shuorenhua:Tier 2
zh	在此基础上	transition	(cut)		shuorenhua:Tier 2
zh	进一步地	transition	(cut)		shuorenhua:Tier 2
zh	恰恰	transition	(cut)		shuorenhua:Tier 2
zh	正是	transition	(cut)		shuorenhua:Tier 2
zh	无疑	transition	(cut)		shuorenhua:Tier 2
zh	不外乎	transition	(cut)		shuorenhua:Tier 2
zh	显著	vocab	(cut)	提升/改善/增长	shuorenhua:Tier 2
zh	有效	vocab	(cut)	解决/推动/促进	shuorenhua:Tier 2
zh	全面	vocab	(cut)	覆盖/推进/升级	shuorenhua:Tier 2
zh	积极	vocab	(cut)	推动/探索/参与	shuorenhua:Tier 2
zh	持续	vocab	(cut)	优化/推进/深化	shuorenhua:Tier 2
zh	进一步	vocab	(cut)	加强/完善/深化	shuorenhua:Tier 2
zh	充分	vocab	(cut)	发挥/利用/体现	shuorenhua:Tier 2
zh	切实	vocab	(cut)	保障/推进/落实	shuorenhua:Tier 2
zh	可谓	vocab	(cut)		shuorenhua:Tier 2
zh	堪称	vocab	(cut)		shuorenhua:Tier 2
zh	追根溯源	vocab	(cut)		shuorenhua:Tier 2
zh	(?:安放|抵达|微光|褶皱|丰盈|滚烫|轻盈)	puffery	(cut)		shuorenhua:Tier 2
en	Can\ we\ talk\ about	opener	(cut)		shuorenhua:Tier 1
en	Let's\ be\ honest	opener	(cut)		shuorenhua:Tier 1
en	I'll\ be\ frank	opener	(cut)		shuorenhua:Tier 1
en	In\ today's\ world	opener	(cut)		shuorenhua:Tier 1
en	What\ this\ means\ is	opener	(cut)		shuorenhua:Tier 1
en	Full\ stop\.	closer	(cut)		shuorenhua:Tier 1
en	Mark\ my\ words\.	closer	(cut)		shuorenhua:Tier 1
en	I\ promise\.	closer	(cut)		shuorenhua:Tier 1
en	Read\ that\ again\.	closer	(cut)		shuorenhua:Tier 1
en	Period\.	closer	(cut)		shuorenhua:Tier 1
en	navigate	jargon	handle, deal with		shuorenhua:Tier 1
en	lean\ into	jargon	accept, try		shuorenhua:Tier 1
en	game\-changer	jargon	important change		shuorenhua:Tier 1
en	circle\ back	jargon	revisit		shuorenhua:Tier 1
en	empower	jargon	let, enable		shuorenhua:Tier 1
en	actionable	jargon	practical		shuorenhua:Tier 1
en	learnings	jargon	lessons		shuorenhua:Tier 1
en	thought\ leader	jargon	expert		shuorenhua:Tier 1
en	best\ practices	jargon	good practices		shuorenhua:Tier 1
en	commence	vocab	start		shuorenhua:Tier 1
en	endeavor	vocab	try		shuorenhua:Tier 1
en	ascertain	vocab	find out		shuorenhua:Tier 1
en	elucidate	vocab	explain		shuorenhua:Tier 1
en	ameliorate	vocab	improve		shuorenhua:Tier 1
en	galvanize	vocab	motivate		shuorenhua:Tier 1
en	bolster	vocab	support		shuorenhua:Tier 1
en	spearhead	vocab	lead		shuorenhua:Tier 1
en	catalyze	vocab	trigger		shuorenhua:Tier 1
en	reimagine	vocab	rethink		shuorenhua:Tier 1
en	cutting\-edge	puffery	new, latest		shuorenhua:Tier 1
en	watershed\ moment	puffery	turning point		shuorenhua:Tier 1
en	functions\ as\ a	shape	is a		shuorenhua:Tier 1
en	presents\ a	shape	has a		shuorenhua:Tier 1
en	In\ order\ to	template	To		shuorenhua:Tier 1
en	Due\ to\ the\ fact\ that	template	Because		shuorenhua:Tier 1
en	At\ this\ point\ in\ time	template	Now		shuorenhua:Tier 1
en	It\ goes\ without\ saying	template	(delete)		shuorenhua:Tier 1
en	Great\ question!	assistant	(cut)		shuorenhua:Tier 1
en	Certainly!	assistant	(cut)		shuorenhua:Tier 1
en	Of\ course!	assistant	(cut)		shuorenhua:Tier 1
en	Here\ is\ a/an	assistant	(cut)		shuorenhua:Tier 1
zh	见证了	puffery	(删掉)		humanizer-zh
zh	是.{0,8}的(体现|证明|缩影)	puffery	(直接陈述事实)		humanizer-zh
zh	反映了更广泛的	puffery	(删掉)		humanizer-zh
zh	象征着	puffery	(删掉，除非真在讲象征)	讨论符号学、纹章、宗教象征时是本义	humanizer-zh
zh	奠定(了)?.{0,6}基础	puffery	(说清楚后来发生了什么)		humanizer-zh
zh	(关键|重要)(的)?转折点	puffery	(给日期和事件)		humanizer-zh
zh	不断演变的(格局|生态|图景)	puffery	(删掉)		humanizer-zh
zh	深深植根于	puffery	(说清楚来源)		humanizer-zh
zh	独立(媒体)?报道	puffery	(给具体出处)		humanizer-zh
zh	活跃的社交媒体	puffery	(删掉，或给数据)		humanizer-zh
zh	坐落(于|在)	puffery	位于 · 在	写地理位置时用「在」	humanizer-zh
zh	必(游|读|看)之(地|书)	puffery	(删掉)		humanizer-zh
zh	致力于	puffery	(说清楚做了什么)	机构章程、正式宗旨里是固定表述	humanizer-zh
zh	自然(之)?美(景|丽)	puffery	(说清楚是什么景观)		humanizer-zh
zh	开创性的	puffery	新的 · (给对比)	字面「开创」某个具体领域时放行	humanizer-zh
zh	尽管(存在|面临)(这些|若干|一些)挑战	template	(删掉整句，或说清楚挑战是什么)		humanizer-zh
zh	挑战与(未来)?展望	template	(改成具体计划或删掉)	作为真实的章节标题且下面确有具体内容时放行	humanizer-zh
zh	未来(可期|展望|前景(依然)?光明)	closer	(改成具体计划、日期、数字)		humanizer-zh
zh	相互作用	vocab	互相影响		humanizer-zh
zh	织锦	puffery	(删掉)	字面纺织品放行	humanizer-zh
zh	截至我(最后)?的(训练|知识)	assistant	(删掉整句)	用户直接问知识截止时间时如实作答	natural-talk
zh	根据我(最后)?的训练(更新|数据)?	assistant	(删掉整句)		natural-talk
zh	虽然具体细节(有限|稀缺|没有广泛记录)	hedge	(去查，或直接说不知道)		humanizer-zh
zh	基于(现有|可用)信息	hedge	(说清楚信息是什么)		humanizer-zh
zh	作为(一个)?(AI|人工智能|语言模型)	assistant	(删掉整句)	用户直接问身份时如实、简短作答	natural-talk
zh	拆一拆	assistant	(删掉，直接说)		natural-talk
zh	盘一盘	assistant	(删掉，直接说)		natural-talk
zh	敲黑板	assistant	(删掉，直接说)		natural-talk
zh	捋一捋	assistant	(删掉，直接说)	deslop 把「捋一遍」列为物理动作词，同族	natural-talk
zh	下面我们	assistant	(删掉，直接说)		natural-talk
zh	数据告诉我们	shape	数据显示 · (给数字)		natural-talk
zh	问题变成了	shape	(直接说问题是什么)		natural-talk
zh	这个角度很新颖	stance	(删掉，只回应内容)		natural-talk
en	marks? a (turning point|shift|milestone)	puffery	(give the date and the event)		humanizer-zh
en	bears? witness to	puffery	(cut)		humanizer-zh
en	reflect(s|ing)? (a )?broader	puffery	(cut)		humanizer-zh
en	laid? the (ground|found)work for	puffery	(say what followed)		humanizer-zh
en	nestled (in|within|among)	puffery	in	Literal nesting (nested loops, nesting birds) is fine.	humanizer-zh
en	must-(visit|read|see)	puffery	(cut)		humanizer-zh
en	breathtaking	puffery	(give the number)		humanizer-zh
en	committed to	puffery	(say what they did)	A commitment with a date and an amount is a fact.	humanizer-zh
en	despite (these|some|several) challenges	template	(cut, or name the challenge)		humanizer-zh
en	challenges and (future )?(prospects|outlook)	template	(replace with a plan, or cut)	A real section with real content under it is fine.	humanizer-zh
en	the future (looks|is) bright	closer	(give the plan, date, number)		humanizer-zh
en	exciting times ahead	closer	(cut)		humanizer-zh
en	as of my (last )?(training|knowledge)	assistant	(cut the sentence)	Answer plainly if the user asked about the cutoff.	natural-talk
en	while (specific|exact) details (are|remain) (limited|scarce)	hedge	(go find out, or say you don't know)		humanizer-zh
en	based on (the )?available information	hedge	(say what the information is)		humanizer-zh
en	as an (AI|artificial intelligence|assistant)	assistant	(cut the sentence)	Answer plainly if the user asked who you are.	natural-talk
en	without further ado	assistant	(cut)		natural-talk
en	here'?s what you need to know	assistant	(cut)		natural-talk
en	you'?re absolutely right	assistant	(cut)		natural-talk
en	great question	assistant	(cut)		natural-talk
en	I hope (this|that) helps	assistant	(cut)		natural-talk
en	the data tells us	shape	the data shows · (give the number)		natural-talk
en	from [a-z ]{3,20} to [a-z ]{3,20}, and (from|everything)	shape	(name the actual span)	A real range with two endpoints on one scale is fine.	humanizer-zh
en	(let me|I'?ll) ground (my|this) (answer|response)	assistant	(cut)		hn-49388752
en	the blast radius (of|here|is)	borrowed	(what breaks, and where)		hn-49388752
en	careful surgery	borrowed	(say what has to be changed)		hn-49388752
en	(it|this) cuts (deeper|more deeply) than	template	(cut)		hn-49388752
en	(and honestly\?|honestly,) that changes (the game|everything)	closer	(cut)		hn-49388752
en	this changes everything	closer	(cut)		hn-49388752
en	that'?s a sharp (insight|observation)	assistant	(cut)		hn-49388752
en	(reveals|says) something (core|fundamental|deep) about	puffery	(state the thing)		hn-49388752
en	the (third|second|last) one is the most (instructive|interesting|telling)	template	(cut the ranking)		hn-49388752
en	say the word and I'?ll	closer	(ask the question plainly)		hn-49388752
en	do the joinery	borrowed	(name the work)		hn-49388752
en	your call on whether to	closer	(ask the question)		hn-49388752
en	to surface any wrinkles	puffery	(say what you would find out)		hn-49388752
en	the (spec|plan|design) drifted on	jargon	(name what changed)	drift is a term of art in some repos; see E6	hn-49388752
en	which is exactly the kind of	template	(cut)		hn-49388752
en	avoid the stock LLM register	editorial	(name the forms you mean)	the instruction written in the register it forbids	hn-49388752
en	load bearing	jargon	(say what it carries)	space-spelled variant; the hyphenated form is a separate row	hn-49388752
